"","year","airport","airport_name","state","region","latitude","longitude","delay_type","delay_prop","delay_curr","delay_trend","delay_likely","delay_comp"
"78",2005,"SEA","Seattle, WA: Seattle/Tacoma International","WA","West",47.449,-122.309306,"Air Carrier",0.0792933614825241,15,"decreased","Previous Flight","worse"
"79",2005,"SFO","San Francisco, CA: San Francisco International","CA","West",37.618972,-122.374889,"Air Carrier",0.0675099234037275,22,"increased","NAS","worse"
"80",2005,"SLC","Salt Lake City, UT: Salt Lake City International","UT","West",40.788389,-111.977772,"Air Carrier",0.0547236074666401,13,"decreased","Previous Flight","better"
"81",2005,"TPA","Tampa, FL: Tampa International","FL","South",27.975472,-82.53325,"Air Carrier",0.0628315601499032,19,"generally remained steady","Previous Flight","worse"
"82",2006,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","GA","South",33.636719,-84.428067,"Air Carrier",0.0584890657536886,16,"decreased","NAS","worse"
"83",2006,"BOS","Boston, MA: Logan International","MA","North East",42.364347,-71.005181,"Air Carrier",0.05416873998321,23,"generally remained steady","NAS","better"
"84",2006,"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","MD","South",39.175361,-76.668333,"Air Carrier",0.0491961032200491,18,"generally remained steady","Previous Flight","better"
"85",2006,"CLT","Charlotte, NC: Charlotte Douglas International","NC","South",35.214,-80.943139,"Air Carrier",0.0654819789910959,16,"decreased","NAS","better"
"86",2006,"DCA","Washington, DC: Ronald Reagan Washington National","DC","South",38.852083,-77.037722,"Air Carrier",0.0547971045123111,19,"generally remained steady","NAS","better"
"87",2006,"DEN","Denver, CO: Denver International","CO","West",39.861656,-104.673178,"Air Carrier",0.061074645493082,21,"increased","Previous Flight","better"
"88",2006,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","TX","South",32.896828,-97.037997,"Air Carrier",0.0390629978228547,22,"increased","Previous Flight","better"
"89",2006,"DTW","Detroit, MI: Detroit Metro Wayne County","MI","Mid West",42.212444,-83.353389,"Air Carrier",0.0594267133956386,18,"decreased","NAS","better"
"90",2006,"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","FL","South",26.072583,-80.15275,"Air Carrier",0.0604354771906988,21,"generally remained steady","NAS","worse"
"91",2006,"IAD","Washington, DC: Washington Dulles International","DC","South",38.944533,-77.455811,"Air Carrier",0.0643199216756413,20,"generally remained steady","Previous Flight","worse"
"92",2006,"IAH","Houston, TX: George Bush Intercontinental/Houston","TX","South",29.984433,-95.341442,"Air Carrier",0.0354378493241192,22,"increased","NAS","better"
"93",2006,"JFK","New York, NY: John F. Kennedy International","NY","North East",40.639751,-73.778925,"Air Carrier",0.058491273174971,23,"decreased","NAS","worse"
"94",2006,"LAS","Las Vegas, NV: McCarran International","NV","West",36.080056,-115.15225,"Air Carrier",0.0542664414560731,19,"decreased","Previous Flight","worse"
"95",2006,"LAX","Los Angeles, CA: Los Angeles International","CA","West",33.942536,-118.408075,"Air Carrier",0.0695027789653698,21,"increased","Previous Flight","worse"
"96",2006,"MCO","Orlando, FL: Orlando International","FL","South",28.429394,-81.308994,"Air Carrier",0.0557411954657069,20,"generally remained steady","Previous Flight","worse"
"97",2006,"MDW","Chicago, IL: Chicago Midway International","IL","Mid West",41.785972,-87.752417,"Air Carrier",0.0448063605290533,18,"increased","Previous Flight","better"
"98",2006,"MIA","Miami, FL: Miami International","FL","South",25.79325,-80.290556,"Air Carrier",0.0655646258503401,20,"decreased","NAS","worse"
"99",2006,"MSP","Minneapolis, MN: Minneapolis-St Paul International","MN","Mid West",44.881956,-93.221767,"Air Carrier",0.0583428697878797,18,"decreased","NAS","better"
